"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @svaradarajan: DU Teachers Allege VC Diverted Rs 4-Crore Staff Donations From PMNRF to PM CARES | @AjoyAshirwad reports https://t.co/ihU…","en","Mumbai, India",0.4939,0,0.775,0.225,"pos",2020-04-22,"Mumbai","India",1
"RT @sambitswaraj: Those who attack the COVID-19 warriors will not be spared. The attackers will be jailed for a period ranging from 6 month…","en","India",-0.7351,0.47,0.53,0,"neg",2020-04-22,NA,"India",-1
"Hydroxychloroquine, the antimalarial drug which the U.S. President Donald Trump called a “game changer” against cor… https://t.co/0x62FkQcrP","en","Hyderabad, India",0,0,1,0,"neu",2020-04-22,"Hyderabad","India",0
"RT @dhanyarajendran: The doctor who charged just Rs 2 to poor patients and gave affordable healthcare to all. Kurnool bids farewell to COVI…","en","India",-0.4767,0.237,0.763,0,"neg",2020-04-22,NA,"India",-1
"RT @business: From New York to Madrid and Mumbai, people are breathing cleaner air https://t.co/Y3dvgw3Lo6","en","India",0.1779,0,0.805,0.195,"pos",2020-04-22,NA,"India",1
"RT @drfatimaskiba: @SaadiaAfzaal Dear @SaadiaAfzaal I’m quite alarmed to see the claims of successful vaccine creation by PRC against Covid…","en","New Delhi, India",0.7184,0.143,0.357,0.5,"pos",2020-04-22,"New Delhi","India",1
"RT @CMR_TRS: #SHGs women members from our village stitching face Masks to Distribute in our village,
They are Contributing for fight agains…","en","Andhra Pradesh, India",-0.3818,0.206,0.794,0,"neg",2020-04-22,"Andhra Pradesh","India",-1
"RT @IndiaToday: Bill Gates lauds PM Modi
#CoronavirusCrisis #Covid19 #World

https://t.co/H5MHEWnT6v","en","New Delhi, India",0,0,1,0,"neu",2020-04-22,"New Delhi","India",0
"@RbHummiingBird We are sorry to let you know that due to nationwide lockdown in an effort to prevent the spread of… https://t.co/jHKsr4otIs","en","India",0.0258,0,0.879,0.121,"pos",2020-04-22,NA,"India",1
"RT @IndianExpress: As per estimates, India might need 1.5 crore coveralls for medical staff fighting COVID-19 by June.

https://t.co/ryLuYN…","en","Mumbai, India",-0.3818,0.191,0.809,0,"neg",2020-04-22,"Mumbai","India",-1
"RT @YouthKiAwaaz: #COVID-19, self-quarantine, and social-distancing have all changed how we interact with each other, but also in many ways…","en","Gwalior, India",0,0,1,0,"neu",2020-04-23,"Gwalior","India",0
"RT @narendramodi: Exchanged views on the COVID-19 pandemic with PM @leehsienloong, and thanked him for the support and care being extended…","en","India",0.8442,0,0.331,0.669,"pos",2020-04-23,NA,"India",1
"RT @republic: 'India's response to COVID-19 has been proactive and graded': Dr. Harsh Vardhan to WHO https://t.co/vS209RibnU","en","New Delhi, India",-0.4404,0.293,0.707,0,"neg",2020-04-23,"New Delhi","India",-1
"Bangladesh decide to extend COVID-19 shutdown for 10 more days until May 5. They initially declared general holiday… https://t.co/mY8WEn5gbb","en","Ahmadabad City, India",0.5267,0,0.672,0.328,"pos",2020-04-24,"Ahmadabad City","India",1
"RT @hpcl_retail: The #AarogyaSetuapp helps you stay safe and gives you the latest news and updates about COVID-19.

 iOS: https://t.co/ZEUz…","en","Kanpur, India",0.6808,0,0.556,0.444,"pos",2020-04-24,"Kanpur","India",1
"RT @PTI_News: COVID-19 situation especially serious in Ahmedabad, Surat, Thane, Hyderabad, Chennai: MHA","en","Bengaluru South, India",0,0,1,0,"neu",2020-04-24,"Bengaluru South","India",0
"RT @Rukmini: Please read: https://t.co/98rr8q3fAM","en","New Delhi, India",0,0,1,0,"neu",2020-04-24,"New Delhi","India",0
"If this pathogen has to have a gender, let it be male please. Suits the way it is behaves. 

#Covid_19 
#coronavirus https://t.co/V73iqPcYL2","en","New Delhi, India",0,0,1,0,"neu",2020-04-24,"New Delhi","India",0
"RT @YangerLongkume2: Again:

Namaste Trump &amp; toppling game in MP delayed India's response against #Covid_19 
Abysmal rates of testing will…","en","Roorkee, India",-0.3182,0.187,0.813,0,"neg",2020-04-24,"Roorkee","India",-1
"Not just #Covid_19 mortality, but overall mortality has dropped. This is confusing and frustrating the Western medi… https://t.co/I8nYt2osCQ","en","New Delhi, India",-0.2732,0.231,0.769,0,"neg",2020-04-24,"New Delhi","India",-1
"RT @CharuPragya: To support our PM @narendramodi Ji in this fight against #Covid_19 &amp; on the appeal of BJP President @JPNadda ji &amp; BJYM Pre…","en","Raigarh, India",0.0258,0.195,0.602,0.203,"pos",2020-04-24,"Raigarh","India",1
"RT @PTI_News: Without lockdown, there would have been estimated 1 lakh COVID-19 cases; the outbreak is under control in India: Govt","en","New Delhi, India",0,0,1,0,"neu",2020-04-24,"New Delhi","India",0
"RT @Francis_Joseph: I'm so glad that we started a conversation on 21st April about schools post Lockdown in India. The world is also talkin…","en","Bengaluru, India",0.4588,0,0.786,0.214,"pos",2020-04-24,"Bengaluru","India",1
"RT @rakeshprakash1: #Bengaluru: #Karnataka #Covid update @ 5 pm, April 24:

19 new cases reported in Bengaluru, majority are from Hongasand…","en","Bengaluru South, India",0,0,1,0,"neu",2020-04-24,"Bengaluru South","India",0
"RT @SwarajyaMag: Maharashtra Minister Jitendra Awhad Tests Positive For Covid-19, Currently In Critical Care Unit Of A Thane Hospital

http…","en","Mysore, India",0.2732,0.121,0.694,0.185,"pos",2020-04-24,"Mysore","India",1
"@ArjunsinghWB @MamataOfficial This is not done, as #Covid_19 may spread. But if they're not infected they would be… https://t.co/K9lW9rJkM3","en","Siliguri, West Bengal, India",0,0,1,0,"neu",2020-04-24,"Siliguri","India",0
"RT @JPNadda: The Country has full faith in the leadership of Hon PM @narendramodi Ji. An astounding 93.5 per cent people in the country bel…","en","Hyderabad, India",0.6705,0,0.667,0.333,"pos",2020-04-24,"Hyderabad","India",1
"RT @jgopikrishnan70: This is called Ideological Trap. Kerala's Left Govt was opposing Aadhar, NPR data collection claiming on Privacy issue…","en","Kolkata, India",-0.3182,0.15,0.85,0,"neg",2020-04-24,"Kolkata","India",-1
"RT @steve_hanke: #SoniaGandhi is correct. #Modi &amp; #BJP haven't just allowed the spread of #Coronavirus. They have let communal hatred explo…","en","Kerala, India",0.2263,0,0.759,0.241,"pos",2020-04-24,"Kerala","India",1
".@unsoundproject on ""What advice would you give to those who are stuck with abusive families/environments in this l… https://t.co/yTXUFaDRZP","en","India",-0.25,0.25,0.75,0,"neg",2020-04-24,NA,"India",-1
"RT @TimesNow: #Breaking | SHOCKER from Uttar Pradesh. 

Body of a COVID-19 patient was seen lying unattended at a quarantine facility in Gh…","en","Mumbai, India",-0.1531,0.127,0.873,0,"neg",2020-04-24,"Mumbai","India",-1
"Entire world is praising PM Modi’s way of handling Covid-19 crisis’: Amit Shah

via NaMo App","en","Rajasthan, India",0,0,1,0,"neu",2020-04-24,"Rajasthan","India",0
"@mahabank Cares!

Your small contribution will make a big difference!
Donate to PM CARES Fund directly from MahaMob… https://t.co/rlo23PBvqk","en","Pune, India",0.7506,0,0.61,0.39,"pos",2020-04-24,"Pune","India",1
"RT @ncbn: Shocked to see the YSR Congress MP obstruct a diagnostic lab (operating from a building owned by the MP) authorised by ICMR to un…","en","Vijayawada, India",-0.3818,0.157,0.843,0,"neg",2020-04-24,"Vijayawada","India",-1
"In @BJP4India ruled state is 157
@INCIndia is 40
@Jduonline +BJP 18
@AamAadmiParty 11
@AITCofficial 10

60% victims… https://t.co/oM5RgTSFb2","en","New Delhi, India",-0.2732,0.412,0.588,0,"neg",2020-04-24,"New Delhi","India",-1
"A little vain perhaps, but couldn't resist sharing this wonderful little video made by Anadi Pandey, the talented s… https://t.co/Jl3QkRWi3Z","en","Lucknow, India",0.296,0.167,0.536,0.298,"pos",2020-04-24,"Lucknow","India",1
"RT @TheSquind: Ramadan Mubarak from the epicenter of Covid-19 Juhapura, Ahmedabad....

But don't blame the Quamuniity coz sEcULaRiSm https:…","en","India",-0.34,0.194,0.806,0,"neg",2020-04-24,NA,"India",-1
"RT @MenonBioPhysics: A welcome initiative to combat fake news is being led by a group of more than 400 multidisciplinary Indian scientists,…","en","New Delhi, India",-0.6705,0.407,0.593,0,"neg",2020-04-24,"New Delhi","India",-1
"A Tribute to all those doctors who are fighting for us as a warrior #TeriMittiTribute #fightagainstcorona #Covid_19… https://t.co/rVfgGudPWx","en","Jaipur, India",-0.3818,0.464,0.536,0,"neg",2020-04-24,"Jaipur","India",-1
"RT @abufawaz24: @LoverZehru @MyNation @irenaakbar @OpusOfAli @imMAK02 @deepsealioness He accused Muslims for spreading #Covid_19
He insulte…","en","Gujarat,India",-0.5106,0.524,0.476,0,"neg",2020-04-24,"Gujarat","India",-1
"Global Active Pharmaceutical Ingredients (API) Industry will be usd 273.3 Bn Along with 6.2% of CAGR | Know the Com… https://t.co/Zja1B3MOMk","en","Pune, India",0,0,1,0,"neu",2020-04-24,"Pune","India",0
"Stay Inside! Don't go out. Stay safe. 

@nashikpolice at it's best. 

#drone #nashik #Covid_19 #NashikPolice… https://t.co/hALzkQQJJA","en","Nashik, India",0.7964,0,0.36,0.64,"pos",2020-04-24,"Nashik","India",1
"RT @ArogyaAndhra: The four districts which recorded the highest number of cases, contribute 66% of total cases in the state. Irrespective o…","en","Ongole, India",0.0772,0,0.885,0.115,"pos",2020-04-24,"Ongole","India",1
"RT @ashwaniattrish: @dpradhanbjp Whilst I Appreciate your VC worth 1 Cr for #PMCARES sold to the TN Petroleum Dealers Association but do un…","en","Barnala, India",0.2263,0,0.84,0.16,"pos",2020-04-24,"Barnala","India",1
"RT @ss_suryawanshi: Mumbai update #Covid_19 positive patients, @mybmc ward wise patients &amp; discharge cases. Worli is still critical along w…","en","Mumbai, India",0.25,0.13,0.679,0.191,"pos",2020-04-24,"Mumbai","India",1
"RT @199bnC: Conducted Civic action program precautions against Covid 19 in West Bastar Chatisgarh by 199 Bn CRPF https://t.co/iK1Ev0PsIq","en","Tirunelveli, India",0,0,1,0,"neu",2020-04-24,"Tirunelveli","India",0
"""Stress Management At The Time of COVID 19 Webinar "",will be held on 28th April,2020 (Tuesday) at 11:00 AM Onwards… https://t.co/6HMmNzw9Hw","en","Greater Noida, India",-0.4215,0.237,0.763,0,"neg",2020-04-24,"Greater Noida","India",-1
"#Covid_19 :? It's too easy to get life's from poverty.

#Peoplepower :) It's not too easy✊.
This picture♥️♥️♥️+ https://t.co/2BIZV1iYiZ","en","Mumbai, India",0,0,1,0,"neu",2020-04-24,"Mumbai","India",0
"#Covid-19 has changed the way we work, live, eat, learn and even buy—will the pandemic change us as customers once… https://t.co/9YbdlmFMOH","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"Importance of owning a house in the aftermath of Covid-19

A recent report by a global consulting firm stated that… https://t.co/w3CXwN1QfU","en","Mumbai, India",0,0,1,0,"neu",2020-04-24,"Mumbai","India",0
"RT @NewsMobileIndia: COVID-19 | Race against time as countries try to develop vaccines 
@WHO
@UniofOxford 
@realDonaldTrump 
@SwissMFA 
#CO…","en","Gurgaon, India",0,0,1,0,"neu",2020-04-24,"Gurgaon","India",0
"@akshaykumar 
@manojmuntashir
https://t.co/LZT1HZQ4Hg
Teri Mitti - Tribute
This song melt my heart..lyrics are beyo… https://t.co/04A9eoQ7Ux","en","New Delhi, India",0,0,1,0,"neu",2020-04-24,"New Delhi","India",0
"RT @achlendra: In a first, @crpfindia conducts passing out parade via video conference at a time when the country is battling the #Covid_19…","en","Gurgaon, India",0,0,1,0,"neu",2020-04-24,"Gurgaon","India",0
"How populists reacted to COVID-19 https://t.co/DK1cu5bOHJ via @wordpressdotcom","en","Ajmer, India",0,0,1,0,"neu",2020-04-24,"Ajmer","India",0
"RT @PiyushGoyal: Railways is at the Forefront to Combat Coronavirus: Uniting for a common cause, Railways is working in a mission mode to f…","en","Jamshedpur, India",-0.34,0.194,0.806,0,"neg",2020-04-24,"Jamshedpur","India",-1
"A total of 1,752 new cases and 37 deaths have been confirmed in the last 24 hours. 
#coronavirus #Covid_19 #CoronavirusIndia","en","New Delhi, India",-0.5994,0.394,0.606,0,"neg",2020-04-24,"New Delhi","India",-1
"RT @ajay43: A friend’s hospital had a Covid 19 patient. Nurses who work there have been shooed away from nearby shops who don’t want to ser…","en","Odisha, India",0.5423,0,0.69,0.31,"pos",2020-04-24,"Odisha","India",1
"“Perspective of the Portfolio Managers &amp; Their PMS strategies on COVID-19”

 #Series15

PMS : @CapitalEnvision
Port… https://t.co/iW4eQyJYsz","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"RT @Gets_Holidays: In the wake of Covid distress, take a moment to relax and soothe your spirits with the calming daily practice of Pranaya…","en","Palampur, India",0.3612,0.186,0.437,0.377,"pos",2020-04-24,"Palampur","India",1
"“Ramadan Mubarak” to all. 

May this holy month brings happiness for all of us and eradicate COVID-19. 

Stay Home,… https://t.co/4rAT8tUkK8","en","Vishakhapatnam, India",0,0,1,0,"neu",2020-04-24,"Vishakhapatnam","India",0
"8. A clip of a quarrel between an #Asian Couple and a Caucasian man shared with the claim that #Chinese people are… https://t.co/w152VW5fQV","en","India",0.296,0,0.761,0.239,"pos",2020-04-24,NA,"India",1
"5. A viral post being attributed to #WHO, claiming that there isn’t a single confirmed patient of COVID-19 who is a… https://t.co/NhlFXVCx1J","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"What is this bullshit going on? Why dont they understand law? Why are they defying the law? Is it bcoz they have sp… https://t.co/aKaHRwmajd","en","Uttar Pradesh, India",-0.5859,0.322,0.678,0,"neg",2020-04-24,"Uttar Pradesh","India",-1
"The #Nifty index finished the week 1.2% lower and the #Sensex closed the week 0.83% down.

https://t.co/V0LuU6uTvy","en","India",-0.296,0.306,0.694,0,"neg",2020-04-24,NA,"India",-1
"RT @Logicwalabhai: @republic the cause of hate on twitter, Trolls busy with Anti @INCIndia bile to care about everyday deaths coz of #Covid…","en","Hyderabad, India",-0.7717,0.493,0.348,0.159,"neg",2020-04-24,"Hyderabad","India",-1
"One more bill Clinton music meme and I'll get the guns out, I promise! #Covid_19","en","Mumbai, India",-0.34,0.255,0.745,0,"neg",2020-04-24,"Mumbai","India",-1
"RT @republic: Rajinikanth's fan murders Vijay's fan over COVID-19 fund donations; details https://t.co/pZjTR6y7IS","en","Uttar Pradesh, India",-0.2732,0.307,0.392,0.301,"neg",2020-04-24,"Uttar Pradesh","India",-1
"RT @ians_india: 𝗜𝗔𝗡𝗦 𝗜𝗻𝘁𝗲𝗿𝘃𝗶𝗲𝘄

All efforts being made to mitigate disruption of teaching: Union Human Resource Development (@HRDMinistry)…","en","New delhi, India",0,0,1,0,"neu",2020-04-24,"New delhi","India",0
"RT @mobile_shri: @AimraIndia @nsitharaman @narendramodi @AmitShah @PiyushGoyal @ianuragthakur @minmsme @DIPPGOI @RBI @ANI @PTI_News @Econom…","en","New Delhi, India",0,0,1,0,"neu",2020-04-24,"New Delhi","India",0
"RT @SristiJhunjhun1: We all hve heard *Teri Mitti*, a patriotic song frm Kesari.
They have come up with a second version of the same for ou…","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"RT @PiyushGoyal: Committed to fighting against Coronavirus, @GeM_India has simplified procurement of items related to COVID-19 🧪🧴

Across I…","en","India",-0.1027,0.22,0.593,0.186,"neg",2020-04-24,NA,"India",-1
"RT @bhmalii: The Shivraj Singh Chouhan-led government in Madhya Pradesh is finding itself in a tight spot in combating the Covid-19 pandemi…","en","Hubli, India",-0.34,0.167,0.833,0,"neg",2020-04-24,"Hubli","India",-1
"The Interns from all Govt. Medical Colleges across UP have been demanding a fair increase in their #Stipend even be… https://t.co/RGP70Vn1Rp","en","Basti, India",0.2023,0.139,0.648,0.213,"pos",2020-04-24,"Basti","India",1
"RT @htTweets: #NewsAlert | The worldwide death toll from #coronavirus pandemic has passed 190,000, with nearly two-thirds of the fatalities…","en","Mumbai, India",-0.8126,0.514,0.486,0,"neg",2020-04-24,"Mumbai","India",-1
"RT @ians_india: 𝗜𝗔𝗡𝗦 𝗜𝗻𝘁𝗲𝗿𝘃𝗶𝗲𝘄

Q: How have those pursuing higher and technical education been affected by the #lockdown? What steps have b…","en","New Delhi, India",0,0,1,0,"neu",2020-04-24,"New Delhi","India",0
"RT Dazeinfo ""While 55% companies have no plans to cut their directors remunerations, 17% are willing to go ahead wi… https://t.co/lLdyN4AiZG","en","New Delhi, India",-0.2732,0.189,0.811,0,"neg",2020-04-24,"New Delhi","India",-1
"RT @byadavbjp: Post-COVID-19: To meet challenges ahead, emphasis must be on livelihood security. Today my article in @IndianExpress. #Covid…","en","Veraval, India",0.2023,0,0.847,0.153,"pos",2020-04-24,"Veraval","India",1
"We prepared for 'PARMANU', 'KITANU' Comes out of syllabus. #CoronaVirus #ChineseVirus #IndiaFightsCorona #Covid_19… https://t.co/kphA5S9Nes","en","Jodhpur, India",0,0,1,0,"neu",2020-04-24,"Jodhpur","India",0
"Twitter Reminds Trump That Many Healthcare Workers Fighting Covid-19 in US are Immigrants https://t.co/KTavlFRH37 https://t.co/Zp7FxXQLrS","en","Noida, India",-0.3818,0.245,0.755,0,"neg",2020-04-24,"Noida","India",-1
"RT @nsui: ”Necessary to focus on a number of issues in this fight.

Fight against Covid-19 would very much depend upon the availability of…","en","Rajasthan, India",-0.5994,0.335,0.581,0.084,"neg",2020-04-24,"Rajasthan","India",-1
"RT @GhilliGirls_Off: Our thalapathy @actorvijay has deposited ₹5000 each to his fans club members (approximately 50 lakhs) for the cause of…","en","Bengaluru, India",0.3182,0,0.753,0.247,"pos",2020-04-24,"Bengaluru","India",1
"RT @htTweets: Without a #lockdown, there would have been an estimated one lakh #COVID19 cases in India by now: Govt 

https://t.co/qi5I6Vaj…","en","Mumbai, India",0,0,1,0,"neu",2020-04-24,"Mumbai","India",0
"This girl I had messaged in November, just messaged me.

Covid 19 really is a miracle drug.

Oh wait.","en","Pune, India",0,0,1,0,"neu",2020-04-24,"Pune","India",0
"RT @satyakumar_y: Birthday greetings to dynamic Chief Minister of Goa @DrPramodPSawant Ji. 

Firstly, congratulations on making ‘Goa’ a Cov…","en","New Delhi, India",0.3182,0,0.827,0.173,"pos",2020-04-24,"New Delhi","India",1
"RT @AskAnshul: Sonia Gandhi cried for Batla encounter in which terrorists were killed.
She could also shed tears for Palghar lynching in wh…","en","Orissa, India",-0.886,0.439,0.561,0,"neg",2020-04-24,"Orissa","India",-1
"RT @mygovindia: MyGov launches ‘Saathi’ Chatbot on https://t.co/Cs7Hhdvd2Q to keep citizens updated with all the latest information, Mythbu…","en","Maharashtra, India",0,0,1,0,"neu",2020-04-24,"Maharashtra","India",0
"RT @cyberabadpolice: ""aalochinchandi annalaara-aavesham maanukondi tammullara"", a heart touching song from the pen of @boselyricist garu fo…","en","Vizianagaram, India",0,0,1,0,"neu",2020-04-24,"Vizianagaram","India",0
"RT @PROCBS: So far, #Haryana seems to be contributing actively to #India’s better #Covid_19 recovery numbers. https://t.co/FGxUr6xbVG","en","New Delhi, India",0.4939,0,0.543,0.457,"pos",2020-04-24,"New Delhi","India",1
"Kindly refund fines paid for non filing of GST 3B returns! @nsitharaman #gst #Covid_19 #india","en","Goa, India",0.2023,0,0.795,0.205,"pos",2020-04-24,"Goa","India",1
"Hope you all are fine there!!!!
We are waiting for this lockdown to get over ❤️ To serve you with more good books📚📚… https://t.co/MxWDOTNDRM","en","Noida,Up,India",0.765,0,0.397,0.603,"pos",2020-04-24,"Noida","India",1
"#IndiaFightsCorona
Given the scale of the challenge, India's response to COVID-19 has been backed by coordinated ac… https://t.co/mn43iUKT9C","en","Nalgonda, India",0,0,1,0,"neu",2020-04-24,"Nalgonda","India",0
"RT @INCIndia: BJP must set aside politics and provide financial assistance to the States to fight this pandemic. 

https://t.co/gIGdlaN5zY","en","Durg, India",-0.3818,0.206,0.794,0,"neg",2020-04-24,"Durg","India",-1
"According to the Red Cross, people who have fully recovered from #Covid-19 have antibodies in their plasma.… https://t.co/pd5LopE8Lb","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"Why we Contribute in PM CARES FUND even if we pay Tax

#PMCaresFunds #Covid_19 #Corona #IndiaFightsCorona","en","Amreli, India",0.4215,0.146,0.521,0.333,"pos",2020-04-24,"Amreli","India",1
"RT @drshamamohd: Despite prior warnings from scientists &amp; @RahulGandhi in Feb, the BJP govt did not put in place a testing strategy against…","en","Bangalore, India",-0.1027,0.123,0.877,0,"neg",2020-04-24,"Bangalore","India",-1
"RT @Paul_Oommen: #Hyderabad airport @RGIAHyd gears up for post lockdown days with focus on social distancing. It was true when they said #C…","en","Gurgaon, India",0.4215,0,0.763,0.237,"pos",2020-04-24,"Gurgaon","India",1
"@Uppolice @chitranshvarun @noidatraffic @DelhiPolice @dtptraffic @timesofindia @fayedsouza @PMOIndia @narendramodi… https://t.co/hR6kP9YWsB","en","Noida, India",0,0,1,0,"neu",2020-04-24,"Noida","India",0
"RT @Tickermarket: #Plasma therapy trials on 4 #COVID__19 patients in #Delhi have produced encouraging results, after a few more trials, his…","en","Mumbai, India",0,0,1,0,"neu",2020-04-24,"Mumbai","India",0
"@Navimumpolice @DGPMaharashtra   Respect !👍🏻❤️ #navimumbaipolice #navimumbai #police #Covid_19 https://t.co/4Kjbpn94P7","en","Navi Mumbai, India",0.4767,0,0,1,"pos",2020-04-24,"Navi Mumbai","India",1
"Digitalising Grassroots, Transforming rural India, PM Narendra Modi launches the SWAMITVA scheme via Video Conferen… https://t.co/Q8rt615z6e","en","Burhanpur, India",0,0,1,0,"neu",2020-04-24,"Burhanpur","India",0
"RT @Surendr67116017: Ayurveda herbs for immunity boosting against covid-19
#AbhiNhiToKabhiNahi
#पूछता_है_उपेक्षित_आयुर्वेद @RaghusharmaINC…","en","India",0.4019,0,0.597,0.403,"pos",2020-04-24,NA,"India",1
"Dear @PIBFactCheck this website is doing it again. 

Can you please fact check it?

https://t.co/EUMZO9gbMr

cc @MoHFW_INDIA","en","India",0.3818,0,0.658,0.342,"pos",2020-04-24,NA,"India",1
"RT @AnisKhatik8: Same varna system is applied in helping those affected by Covid -19 pandemic.
Passport holders are fine, ration card holde…","en","Uttar Pradesh, India",0.5423,0,0.71,0.29,"pos",2020-04-24,"Uttar Pradesh","India",1
"RT @kar5han_: Facing criticism over his government’s response to the Covid-19 crisis, especially in hotspots like Indore, Chouhan said the…","en","New Delhi, India",0.1027,0.144,0.685,0.171,"pos",2020-04-24,"New Delhi","India",1
"RT @Drbhumi_v: @CMOGuj @CMOGuj More &amp; more cases of COVID 19 increasing in surat .
So please must think about prisoners safety
We all reque…","en","Gujarat, India",-0.5106,0.268,0.732,0,"neg",2020-04-24,"Gujarat","India",-1
"RT @GradientCyber: With remote working being the new normal, there's been a dramatic increase in #COVID19 related cyber threat activity. Aw…","en","Ambala, India",-0.5267,0.254,0.746,0,"neg",2020-04-24,"Ambala","India",-1
"REVEALED: Total amount donated by ALL Bollywood celebrities towards Covid-19 relief efforts 
 
#AjayDevgn… https://t.co/n5e3UI3WsE","en","Mumbai, India",0.4767,0,0.744,0.256,"pos",2020-04-24,"Mumbai","India",1
"On 3rd May we will be back to asking the same question we asked on 14th April #lockdownextension #LockdownWithoutPlan  
#Covid_19","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"RT @republic: 'Increase COVID-19 tests to 2500-5000 per day': IMCT issues directives to West Bengal govt https://t.co/t2kp0QmFVX","en","Bengaluru, India",0,0,1,0,"neu",2020-04-24,"Bengaluru","India",0
"RT @timesofindia: COVID-19 Tracker 

Follow LIVE Updates - https://t.co/BEJCFEvYsv

#CautionYesPanicNo #CoronavirusOutbreak 
#CoronavirusPa…","en","New Delhi, India",0,0,1,0,"neu",2020-04-24,"New Delhi","India",0
"RT @ceoworld: Why sustainability needs to remain a priority for the C-suite post COVID-19 https://t.co/iGTFbghhk0 via @ceoworld","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"Tamil Nadu sees 50% recovery of COVID-19 cases, announces stricter lockdown measures in big cities 
https://t.co/eSz6eeE1ej","en","India",0,0,1,0,"neu",2020-04-24,NA,"India",0
"RT @oluwashina: FIFA starts immediate financial support to member associations in response to COVID-19 impact.

$150m will be distributed a…","en","India",0.4019,0,0.787,0.213,"pos",2020-04-24,NA,"India",1
"RT @pangnyu: Nagaland status on COVID-19 as of now.
A total of 580 samples out of 613 sent from Nagaland  have been received and all have t…","en","Kohima, India",0,0,1,0,"neu",2020-04-24,"Kohima","India",0
"India's Covid-19 count rises to 23,452, death toll at 723 #coronavirus #coronaupdatesindia 
https://t.co/i71Yhzeln2","en","Kolkata, India",-0.5994,0.438,0.562,0,"neg",2020-04-24,"Kolkata","India",-1
"RT @sansbarrier: Prolonged lockdown is basically slavery. COVID-19 lockdown should ideally be relaxed beyond may03 . You can't keep the peo…","en","Panagudi, India",0.743,0,0.613,0.387,"pos",2020-04-24,"Panagudi","India",1
"RT @EsBeing: The Union Government of India under Bjp’s PM Mr.@narendramodi should leave aside all his egoistic character and keep aside pol…","en","Bengaluru, India",0,0,1,0,"neu",2020-04-24,"Bengaluru","India",0
